datum,bundesland_id,bundesland_name,versorgungsstufe,faelle_covid_aktuell,intensivbetten_betreibbar,anzahl_meldebereiche
2023-05-05,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",155,7228,274
2023-05-05,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",165,7192,740
2023-05-05,00,Deutschland,"SCHWERPUNKTVERSORGUNG",105,6804,457
2023-05-05,00,Deutschland,"FACHKLINIK",16,693,66
2023-05-05,00,Deutschland,"nicht angegeben",9,196,16
2023-05-04,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",154,7239,276
2023-05-04,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",162,7186,738
2023-05-04,00,Deutschland,"SCHWERPUNKTVERSORGUNG",110,6814,457
2023-05-04,00,Deutschland,"FACHKLINIK",15,697,66
2023-05-04,00,Deutschland,"nicht angegeben",9,198,16
2023-05-03,00,Deutschland,"SCHWERPUNKTVERSORGUNG",113,6887,460
2023-05-03,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",176,7218,743
2023-05-03,00,Deutschland,"FACHKLINIK",16,712,66
2023-05-03,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",162,7279,274
2023-05-03,00,Deutschland,"nicht angegeben",4,198,16
2023-05-02,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",176,7195,740
2023-05-02,00,Deutschland,"SCHWERPUNKTVERSORGUNG",127,6850,458
2023-05-02,00,Deutschland,"FACHKLINIK",16,709,66
2023-05-02,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",184,7331,274
2023-05-02,00,Deutschland,"nicht angegeben",4,199,16
2023-05-01,00,Deutschland,"SCHWERPUNKTVERSORGUNG",129,6836,459
2023-05-01,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",191,7209,744
2023-05-01,00,Deutschland,"FACHKLINIK",15,710,67
2023-05-01,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",178,7226,273
2023-05-01,00,Deutschland,"nicht angegeben",3,197,16
2023-04-30,00,Deutschland,"SCHWERPUNKTVERSORGUNG",133,6849,457
2023-04-30,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",172,7234,273
2023-04-30,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",190,7205,746
2023-04-30,00,Deutschland,"FACHKLINIK",14,712,67
2023-04-30,00,Deutschland,"nicht angegeben",3,184,16
2023-04-29,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",187,7203,748
2023-04-29,00,Deutschland,"SCHWERPUNKTVERSORGUNG",140,6893,458
2023-04-29,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",171,7270,272
2023-04-29,00,Deutschland,"FACHKLINIK",15,725,67
