"datum";"bundesland_id";"bundesland_name";"versorgungsstufe";"faelle_covid_aktuell";"intensivbetten_frei";"intensivbetten_belegt";"anzahl_meldebereiche"
2023-05-05;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";155;767;6461;274
2023-05-05;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";165;1498;5694;740
2023-05-05;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";105;1056;5748;457
2023-05-05;0;"Deutschland";"FACHKLINIK";16;72;621;66
2023-05-05;0;"Deutschland";"nicht angegeben";9;18;178;16
2023-05-04;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";154;725;6514;276
2023-05-04;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";162;1490;5696;738
2023-05-04;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";110;1051;5763;457
2023-05-04;0;"Deutschland";"FACHKLINIK";15;88;609;66
2023-05-04;0;"Deutschland";"nicht angegeben";9;21;177;16
2023-05-03;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";113;1060;5827;460
2023-05-03;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";176;1526;5692;743
2023-05-03;0;"Deutschland";"FACHKLINIK";16;84;628;66
2023-05-03;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";162;753;6526;274
2023-05-03;0;"Deutschland";"nicht angegeben";4;17;181;16
2023-05-02;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";176;1591;5604;740
2023-05-02;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";127;1150;5700;458
2023-05-02;0;"Deutschland";"FACHKLINIK";16;96;613;66
2023-05-02;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";184;903;6428;274
2023-05-02;0;"Deutschland";"nicht angegeben";4;26;173;16
2023-05-01;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";129;1151;5685;459
2023-05-01;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";191;1658;5551;744
2023-05-01;0;"Deutschland";"FACHKLINIK";15;106;604;67
2023-05-01;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";178;879;6347;273
2023-05-01;0;"Deutschland";"nicht angegeben";3;23;174;16
2023-04-30;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";133;1120;5729;457
2023-04-30;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";172;834;6400;273
2023-04-30;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";190;1669;5536;746
2023-04-30;0;"Deutschland";"FACHKLINIK";14;122;590;67
2023-04-30;0;"Deutschland";"nicht angegeben";3;25;159;16
2023-04-29;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";187;1516;5687;748
2023-04-29;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";140;1067;5826;458
2023-04-29;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";171;796;6474;272
2023-04-29;0;"Deutschland";"FACHKLINIK";15;105;620;67
2023-04-29;0;"Deutschland";"nicht angegeben";3;23;156;15
2023-04-28;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";186;1452;5753;745
2023-04-28;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";140;1036;5906;460
2023-04-28;0;"Deutschland";"FACHKLINIK";16;97;637;67
2023-04-28;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";175;804;6535;274
2023-04-28;0;"Deutschland";"nicht angegeben";3;22;158;14
2023-04-27;0;"Deutschland";"FACHKLINIK";14;107;625;67
2023-04-27;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";205;1442;5843;743
2023-04-27;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";135;1084;5879;461
2023-04-27;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";190;773;6558;276
2023-04-27;0;"Deutschland";"nicht angegeben";1;24;158;14
2023-04-26;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";130;1043;5896;461
2023-04-26;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";213;1438;5903;744
2023-04-26;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";192;790;6545;278
2023-04-26;0;"Deutschland";"FACHKLINIK";18;95;662;68
2023-04-26;0;"Deutschland";"nicht angegeben";1;38;144;14
2023-04-25;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";194;745;6585;279
2023-04-25;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";153;1052;5849;462
2023-04-25;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";223;1518;5845;746
2023-04-25;0;"Deutschland";"nicht angegeben";1;29;153;14
2023-04-25;0;"Deutschland";"FACHKLINIK";18;84;673;68
2023-04-24;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";166;1134;5724;462
2023-04-24;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";239;1543;5781;747
2023-04-24;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";196;814;6473;278
2023-04-24;0;"Deutschland";"FACHKLINIK";17;101;636;68
2023-04-24;0;"Deutschland";"nicht angegeben";2;20;162;14
2023-04-23;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";164;1137;5731;462
2023-04-23;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";196;832;6409;279
2023-04-23;0;"Deutschland";"FACHKLINIK";14;90;634;67
2023-04-23;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";233;1511;5740;748
2023-04-23;0;"Deutschland";"nicht angegeben";2;24;155;14
2023-04-22;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";171;1080;5817;463
2023-04-22;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";221;1452;5815;750
2023-04-22;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";199;782;6495;277
2023-04-22;0;"Deutschland";"FACHKLINIK";12;79;647;67
2023-04-22;0;"Deutschland";"nicht angegeben";2;22;157;14
2023-04-21;0;"Deutschland";"FACHKLINIK";12;92;642;67
2023-04-21;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";176;1049;5850;462
2023-04-21;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";229;1421;5905;748
2023-04-21;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";207;748;6596;279
2023-04-21;0;"Deutschland";"nicht angegeben";2;17;161;14
2023-04-20;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";183;1017;5890;462
2023-04-20;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";231;1459;5896;752
2023-04-20;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";207;759;6608;278
2023-04-20;0;"Deutschland";"FACHKLINIK";12;87;680;69
2023-04-20;0;"Deutschland";"nicht angegeben";3;20;159;14
2023-04-19;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";194;1061;5850;463
2023-04-19;0;"Deutschland";"FACHKLINIK";13;91;678;70
2023-04-19;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";243;1450;5896;751
2023-04-19;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";209;758;6626;279
2023-04-19;0;"Deutschland";"nicht angegeben";3;22;159;14
2023-04-18;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";206;1055;5834;463
2023-04-18;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";255;1487;5850;751
2023-04-18;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";216;765;6580;277
2023-04-18;0;"Deutschland";"FACHKLINIK";13;90;678;70
2023-04-18;0;"Deutschland";"nicht angegeben";4;19;162;14
2023-04-17;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";216;1207;5724;464
2023-04-17;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";255;1589;5678;751
2023-04-17;0;"Deutschland";"FACHKLINIK";14;102;659;70
2023-04-17;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";211;840;6472;280
2023-04-17;0;"Deutschland";"nicht angegeben";4;15;166;14
2023-04-16;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";258;1623;5596;752
2023-04-16;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";218;1236;5691;465
2023-04-16;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";204;813;6439;279
2023-04-16;0;"Deutschland";"FACHKLINIK";16;101;648;70
2023-04-16;0;"Deutschland";"nicht angegeben";4;22;158;14
2023-04-15;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";271;1517;5737;752
2023-04-15;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";225;1141;5804;464
2023-04-15;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";194;791;6459;277
2023-04-15;0;"Deutschland";"FACHKLINIK";16;97;657;69
2023-04-15;0;"Deutschland";"nicht angegeben";3;24;156;14
2023-04-14;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";284;1477;5786;753
2023-04-14;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";216;1113;5815;463
2023-04-14;0;"Deutschland";"FACHKLINIK";15;90;678;69
2023-04-14;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";201;785;6494;279
2023-04-14;0;"Deutschland";"nicht angegeben";3;20;159;14
2023-04-13;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";220;1123;5797;463
2023-04-13;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";296;1475;5854;752
2023-04-13;0;"Deutschland";"FACHKLINIK";16;96;668;69
2023-04-13;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";211;786;6555;279
2023-04-13;0;"Deutschland";"nicht angegeben";2;18;161;14
2023-04-12;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";229;1151;5820;464
2023-04-12;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";299;1546;5806;754
2023-04-12;0;"Deutschland";"FACHKLINIK";20;98;669;69
2023-04-12;0;"Deutschland";"nicht angegeben";1;21;160;14
2023-04-12;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";218;813;6491;279
2023-04-11;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";315;1655;5684;759
2023-04-11;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";247;1211;5781;466
2023-04-11;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";224;862;6434;278
2023-04-11;0;"Deutschland";"FACHKLINIK";18;100;662;69
2023-04-11;0;"Deutschland";"nicht angegeben";4;22;159;14
2023-04-10;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";245;1282;5705;466
2023-04-10;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";304;1722;5565;757
2023-04-10;0;"Deutschland";"FACHKLINIK";15;103;614;69
2023-04-10;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";231;902;6328;280
2023-04-10;0;"Deutschland";"nicht angegeben";4;19;160;15
2023-04-09;0;"Deutschland";"FACHKLINIK";15;107;651;68
2023-04-09;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";239;863;6317;278
2023-04-09;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";308;1721;5606;754
